idHistory,Code,Description,Duration,userId,OperatorComment,BegindateTime,IdPrevious,EndDateTime,Pieces,Rejections
1655490,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,660,siderca\60062524,"CPA,CA15,GA15,CFC,GFC,GDS,CDT",2025-03-31 21:05:40.6863065 -03:00,1655438,2025-03-31 19:33:28.1312955 -03:00,13,0
1655512,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,366.866,siderca\60062524,"GA15,GFC",2025-03-31 22:30:58.9322162 -03:00,1655490,2025-03-31 21:16:40.6863065 -03:00,11,0
1655533,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,770.981,siderca\60062524,"CPT,CPA,GSR,GA15,GA12,GFC,CDS,GDS,CDT",2025-03-31 23:41:16.6127714 -03:00,1655512,2025-03-31 22:37:05.7981280 -03:00,10,0
1655554,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,407,siderca\60062524,"GA15,GFC",2025-04-01 00:58:19.4599853 -03:00,1655533,2025-03-31 23:54:07.5933171 -03:00,11,0
1655585,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,897.927,siderca\60062524,"CPA,GA15,CFC,GFC,CDS,GDS",2025-04-01 02:25:19.2893706 -03:00,1655554,2025-04-01 01:05:06.4599853 -03:00,11,0
1655613,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,465.366,siderca\60062524,"CPT,CSR,GSR,GA15,GFC",2025-04-01 03:49:07.5109457 -03:00,1655585,2025-04-01 02:40:17.2167863 -03:00,11,0
1655667,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,641,siderca\12985,"CPA,CA15,GA15,CFC,GFC,CDS,GDS,CDT",2025-04-01 05:12:00.2538720 -03:00,1655613,2025-04-01 03:56:52.8764887 -03:00,11,0
1655700,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,244.027,siderca\12985,"CA15,GA15,CDT",2025-04-01 06:37:54.0143171 -03:00,1655667,2025-04-01 05:22:41.2538720 -03:00,11,0
1655728,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,734,siderca\12985,"CPT,CPA,CSR,GSR,CA15,GA15,CFC,GFC,CDS,GDS,CDT",2025-04-01 07:55:28.6417670 -03:00,1655700,2025-04-01 06:41:58.0416638 -03:00,11,0
1655758,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,333.126,siderca\12985,"CA15,GA15,CDT",2025-04-01 09:26:19.9964749 -03:00,1655728,2025-04-01 08:07:42.6417670 -03:00,12,0
1655796,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,600.22,siderca\12985,"CPA,CA15,GA15,CFC,CDS,GDS,CDT",2025-04-01 11:10:59.0495345 -03:00,1655758,2025-04-01 09:31:53.1228914 -03:00,12,0
1655817,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,488.446,siderca\12985,"CPT,CSR,GSR,CA15,GA15,CDT",2025-04-01 12:25:12.2838685 -03:00,1655796,2025-04-01 11:20:59.2694176 -03:00,11,0
1655860,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,931.159,siderca\60062257,"CPA,CFC,CDS,CDT",2025-04-01 13:55:25.1060469 -03:00,1655817,2025-04-01 12:33:20.7298874 -03:00,12,0
1655888,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,189.699,siderca\60062257,"CFC,CDT",2025-04-01 15:26:06.5859560 -03:00,1655860,2025-04-01 14:10:56.2656768 -03:00,11,0
1655917,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,1183.171,siderca\60062257,"CPT,CPA,GSR,CA15,CFC,GDS,CDT",2025-04-01 16:41:18.0289601 -03:00,1655888,2025-04-01 15:29:16.2845370 -03:00,9,0
1655956,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,205.716,siderca\60062257,"CFC,CDT",2025-04-01 18:23:05.3986633 -03:00,1655917,2025-04-01 17:01:01.1991983 -03:00,11,2
1655987,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,622.551,siderca\60062257,"CPA,CFC,CDS,CDT",2025-04-01 19:30:42.7510630 -03:00,1655956,2025-04-01 18:26:31.1142788 -03:00,10,0
1656071,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,600.486,siderca\60062524,"CPT,CSR,GSR,GA15,CFC,GFC",2025-04-01 21:05:44.0000000 -03:00,1655987,2025-04-01 19:41:05.3027949 -03:00,12,3
